learningMaterialTitle,average_rating,feedback_count
Tener expedita tamquam curtus.,3.3333333333333335,3
Tener odio cubicularis argentum aperio.,5.0,1
Tenetur coerceo taceo atrocitas crastinus vae addo cado.,4.5,2
Tepidus cohors cilicium viridis vehemens comis decimus.,1.0,1
Ter denuo averto auctus aegrus.,3.0,1
Terebro coniecto apostolus cibo suppono velut.,2.0,2
Terga aspernatur dignissimos adduco adiuvo cruentus.,2.6666666666666665,3
Tergeo decimus similique texo approbo.,1.6666666666666667,3
Tergeo venustas tempora color accendo triumphus spargo.,2.0,1
Tergum concido amet.,2.5,2
Termes coniecto thalassinus ab ambulo.,4.0,1
Terminatio avaritia contego molestias calcar amet bos.,4.5,2
Tero degusto suasoria umbra alter.,2.0,1
Terra theca tertius tum.,3.0,2
Terreo apparatus coniuratio admoveo studio ver eius cupiditas nesciunt.,4.0,2
Terreo vorax creptio volup aptus crustulum delego ea volaticus.,3.3333333333333335,3
Territo corporis theca turba allatus cogito temeritas acervus deprecator appositus.,1.75,4
Tersus sumo trepide cupiditate depraedor alter.,5.0,2
Tertius curatio tutis adnuo aurum.,4.0,1
Testimonium conventus viscus necessitatibus super creber casus denuncio reiciendis.,2.3333333333333335,3
Texo aurum tui derideo uter templum temperantia.,4.0,1
Thalassinus pectus allatus ustilo crebro clarus.,3.3333333333333335,3
Theatrum deludo pariatur fugiat voluntarius verto valens casso.,1.0,1
Theca verus color.,3.0,1
Theologus astrum minima terebro canis sumo articulus volaticus uredo talus.,3.0,2
Theologus teneo deleniti tepesco.,2.0,2
Thermae admoneo illum derideo.,2.5,4
Thesaurus concedo tergum avarus odio balbus voveo tamisium comitatus circumvenio.,2.0,1
Thymum aer pecco aliquid terebro temperantia aestus aliqua suffragium.,3.0,1
Thymum ocer vomer.,3.0,2
Tibi tantum triduana arguo tero.,3.0,1
Timidus allatus facilis illum comedo pecto debitis culpa alii.,1.0,2
Timidus curia voluptatum assumenda curvo totam auctus temptatio.,3.0,2
Titulus auctus conventus allatus distinctio comedo thesis atque alienus.,4.5,2
Tollo caelum conforto voveo esse tenus amet.,5.0,1
Tollo expedita desipio fugit cubo cunctatio depereo careo.,5.0,1
Toties alienus vergo apud demum sit aliquid appello illo tepesco.,4.0,2
Totus tyrannus veritas cattus utor exercitationem carpo.,1.0,1
Trado bene vomica ulciscor auctor usitas pauci.,3.0,3
Trado comedo in commodo tricesimus voluptatibus sui.,3.0,1
Trans argumentum adulatio annus.,1.5,2
Tres ducimus surculus uter adeptio.,3.0,1
Tribuo conatus utor eum sunt voro.,2.5,2
Tricesimus torrens ager varietas aedificium adulatio.,4.0,1
Triduana vitium voluptatum decor aedificium condico aurum aegre.,1.0,2
Tripudio cattus appello defetiscor vito.,1.0,2
Tripudio ventosus unus curso.,5.0,1
Trucido capto thermae ultio audio.,3.5,2
Truculenter cattus communis illo carmen coma angulus curiositas.,2.8,5
Truculenter cunctatio suffoco denique spiculum.,1.6666666666666667,3
Truculenter ventus compello clibanus clibanus despecto tero coniecto veniam.,2.0,1
Tunc aestivus deduco templum absum cubitum libero cupiditas cito.,1.0,1
Turba armarium depraedor vester officiis abstergo.,4.0,2
Turba synagoga vobis defendo veritatis caries toties compello.,3.0,1
Turbo quia ventito nesciunt ante minima thymbra desparatus.,5.0,1
Tyrannus ancilla verbum cupressus basium volo.,2.6666666666666665,3
Uberrime quisquam cena capto triduana statua.,3.0,1
Ubi ipsam contego.,4.5,2
Ubi volo trans aetas curto.,2.0,1
Ulciscor patruus super.,3.0,1
Ullus thorax auctor paulatim tabella.,3.0,2
Undique trans rerum bene tricesimus.,1.0,1
Ut accusator cupressus tandem delectatio baiulus vapulus comis demo.,2.0,1
Ut deputo tempus virga communis verumtamen sortitus.,2.0,2
Utilis bis colligo textilis.,3.5,2
Utilis ratione esse tubineus altus pax toties adsidue.,4.0,1
Utrimque autus reprehenderit volva aestas suffoco.,5.0,1
Utrimque vis thesis pectus theatrum.,4.0,1
Vaco tertius alienus dolorum ustilo speciosus audeo spargo.,3.0,2
Vacuus strenuus iste.,4.0,1
Vae in vorago omnis confugo turbo summopere viridis cui claustrum.,2.0,1
Valde crinis veniam annus esse decet.,3.6666666666666665,3
Valens titulus astrum adstringo vomica degenero blandior deripio.,1.0,1
Valeo anser beneficium asperiores.,2.0,3
Valeo vinco compono villa nihil taedium.,3.6666666666666665,3
Vapulus volva arx attero theca voluptatum abstergo asper sui.,3.5,2
Velit cenaculum trucido impedit amoveo teneo atque defungo praesentium.,5.0,1
Velum curia ea advenio corroboro dolorum temeritas adipiscor apud.,3.0,2
Velut tepesco arbor depereo dedecor decipio audacia desidero desino.,3.0,2
Venia audacia tabella architecto appositus conservo sordeo.,2.6666666666666665,3
Venio cursim incidunt cerno depromo sufficio consuasor.,5.0,1
Venio textilis culpo infit.,3.0,2
Venio tunc ventosus sunt tabgo ocer demo reiciendis coaegresco.,2.0,1
Ventito sodalitas ater depereo aiunt.,2.0,2
Ventosus delibero tersus angelus adipisci attero decet officia sonitus.,1.6666666666666667,3
Ventus vorax vorax deinde certe apto maxime cuppedia suscipit votum.,1.3333333333333333,3
Ver accendo tepidus terminatio.,1.5,2
Ver sequi laudantium careo adfero.,4.0,1
Verbum currus hic.,2.0,1
Verbum ustilo vesper arcus accedo terreo totam.,3.0,3
Vereor conicio coepi angelus canonicus arca delicate aestus minus tactus.,1.5,2
Vereor volo timidus nulla alii statua alioqui cattus.,3.5,2
Verto sursum suasoria utique cunae.,3.3333333333333335,3
Verus voluptate deficio ab minus cogo aegrotatio.,3.0,1
Vesper deludo numquam officiis ventus curiositas abstergo neque maxime.,3.0,1
Vesper mollitia aperiam.,2.0,1
Vestrum video ipsa adhaero sursum ascit baiulus.,4.0,1
Vetus arma vitium.,1.6666666666666667,3
Vetus auxilium absum tardus qui concedo allatus.,5.0,1
Vetus tollo alias.,2.5,2
Vicissitudo varietas aegrus cubitum textor arbitro recusandae volup.,2.5,2
Victoria ultio omnis decipio sono.,3.0,2
Victus cibo colo spoliatio.,4.0,1
Viduo degero odit.,3.0,2
Vigilo vel aurum depopulo.,1.0,1
Vigor veniam deludo aliqua admiratio.,2.0,1
Vilicus pel conventus causa carpo velut.,2.0,1
Vilitas cena tabesco benigne vobis tenus subito vergo minus vinco.,5.0,1
Vilitas coma cogo apud terra terminatio.,3.0,1
Vinco tabula tepesco colo.,3.0,1
Vir curso basium demonstro bonus spero viridis clementia conduco ater.,3.6666666666666665,3
Virgo ascit cicuta facilis.,4.0,1
Viridis aperte stillicidium consuasor ex pecto deprecator.,3.0,1
Virtus termes vorax cito adulatio conspergo vulpes viscus comitatus.,4.5,2
Vis aequus cupio valetudo.,5.0,1
Vita cubicularis solvo cinis alii molestiae calculus culpa veritatis teres.,3.0,1
Vita vorax tamdiu aer vito depraedor accommodo corroboro sursum vacuus.,2.0,2
Vitae dolor ancilla ars virtus.,2.0,2
Vitae turba synagoga aeneus demulceo sursum agnitio.,2.0,1
Vitiosus ambulo angelus speciosus velociter exercitationem optio tamdiu.,3.5,2
Vitium texo sumptus subiungo spes vitium.,5.0,1
Vivo totidem totam ulciscor vitium aegrus.,2.0,1
Vobis aequus certus curia tamquam.,4.0,1
Volaticus angustus vado adiuvo repellat eligendi denuo deputo.,2.0,1
Volo arceo civitas deleniti vester aperte via cotidie utilis.,2.3333333333333335,3
Voluntarius uxor vorago sed sto minus volo acquiro.,3.0,1
Volup admoneo accommodo despecto repellat viridis pauci.,3.5,2
Volup at ventosus theca culpa cognatus.,1.5,2
Volup atque ascisco balbus testimonium cognatus studio tabula.,4.0,2
Volup venia timor sulum causa colligo aptus valens quam tricesimus.,4.5,2
Voluptate neque voluptas damnatio deputo.,2.25,4
Voluptatem certus aestus vomito alo.,3.0,1
Volva conventus adhuc collum cupressus neque deduco tamquam conor creo.,3.0,1
Vomer caecus constans adfero cimentarius campana.,4.0,1
Vomito denuncio alienus utrum praesentium cenaculum bene centum sortitus.,3.6666666666666665,3
Vorago unde voveo tribuo creta complectus tondeo.,5.0,1
Vorax aetas decor.,4.0,1
Voro audio comprehendo vulgivagus praesentium via vorago cribro.,3.0,1
Votum ustulo acceptus cibo acerbitas curriculum vapulus.,4.0,1
Vulgaris audax vulgivagus succurro consequuntur ex arto aggero condico.,3.0,1
Vulgaris votum valetudo validus atavus vorax ascit testimonium a bonus.,3.4,5
Vulgo subiungo tamquam.,5.0,1
Vulnus aestas certe.,4.0,2
Vulnus tandem assumenda solvo delego dolor accedo.,1.0,1
Vulpes ventosus neque.,2.5,2
